,artist,artist_id,track_name,track_id,danceability,energy,tempo,speechiness,acousticness,instrumentalness,liveness,valence
0,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MONACO,4MjDJD8cW7iVeWInc2Bdyj,0.787,0.621,139.056,0.068,0.15,0.000402,0.58,0.13
1,Bad Bunny,4q3ewBCX7sLwd24euuV69X,PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,0.911,0.778,96.057,0.262,0.0887,2.16e-05,0.179,0.345
2,Bad Bunny,4q3ewBCX7sLwd24euuV69X,FINA,3nNmRE0DxHC6ZaKkrpUumS,0.847,0.724,94.601,0.298,0.0869,1.11e-06,0.118,0.396
3,Bad Bunny,4q3ewBCX7sLwd24euuV69X,HIBIKI,4qSEvFGCpde73gqIuq3sho,0.801,0.645,119.935,0.0706,0.604,0.0,0.118,0.528
4,Bad Bunny,4q3ewBCX7sLwd24euuV69X,SEDA,1YnChEM51BVZ5dRhbVFEMl,0.706,0.566,125.876,0.126,0.268,1.02e-06,0.111,0.23
5,Bad Bunny,4q3ewBCX7sLwd24euuV69X,NADIE SABE,23d8v6tU6lR77pFKsApMtF,0.529,0.711,170.305,0.0669,0.572,0.0,0.0799,0.582
6,KAROL G,790FomKkXshlbRYZFtlgla,QLONA,5RqSsdzTNPX1uzkmlHCFvK,0.841,0.738,169.918,0.307,0.52,0.0,0.0892,0.484
7,Bad Bunny,4q3ewBCX7sLwd24euuV69X,THUNDER Y LIGHTNING,4pcafPzLDSqQktqSpxHL3E,0.552,0.744,156.027,0.124,0.496,0.0,0.112,0.627
8,Bad Bunny,4q3ewBCX7sLwd24euuV69X,UN PREVIEW,5ixdmTpCmH5diBA1j154wN,0.795,0.815,94.991,0.0821,0.0368,3.82e-05,0.227,0.334
9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,169.994,0.157,0.117,2.06e-05,0.105,0.564
10,Bad Bunny,4q3ewBCX7sLwd24euuV69X,BABY NUEVA,3NhstUmrlhaN1M6hP8zMbb,0.866,0.63,117.924,0.0616,0.504,0.000505,0.328,0.359
11,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MERCEDES CAROTA,3TYOH7ta0101NYssoH5GlU,0.822,0.487,134.046,0.223,0.385,6.55e-05,0.115,0.193
12,Taylor Swift,06HL4z0CvFAxyc27GXpf02,This Love (Taylor’s Version),5QVVjX0ZItqlVpEuVCM9Yg,0.474,0.511,144.022,0.0339,0.299,0.0,0.0673,0.0586
13,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Wildest Dreams (Taylor's Version),1K39ty6o1sHwwlZwO6a7wK,0.581,0.672,140.061,0.0739,0.0411,9.35e-05,0.118,0.514
14,Bad Bunny,4q3ewBCX7sLwd24euuV69X,NO ME QUIERO CASAR,39L3LdlHS3gqB62HPWaJRg,0.914,0.698,99.011,0.115,0.32,8.76e-06,0.083,0.757
15,Viktor Sheen,4cG43cUBRJWWDsRh4SW48i,Dopamin,6AMZm12a1B2kpgN7qOA7Cy,0.815,0.543,120.048,0.258,0.228,0.14,0.0666,0.409
16,Viktor Sheen,4cG43cUBRJWWDsRh4SW48i,Království,1BE9PBZnXNbc6xh8jdbC7i,0.804,0.518,135.963,0.115,0.479,0.0,0.138,0.451
17,Viktor Sheen,4cG43cUBRJWWDsRh4SW48i,WHO (feat. P T K),7z260Mol7Xvxetkwx55dL4,0.874,0.568,146.961,0.317,0.0192,1.54e-06,0.103,0.689
18,Bad Bunny,4q3ewBCX7sLwd24euuV69X,TELEFONO NUEVO,01ppKlDRCmPpusO3yNrSRY,0.619,0.619,125.752,0.491,0.407,0.0,0.0932,0.393
19,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,3D (feat. Jack Harlow),01qFKNWq73UfEslI0GvumE,0.853,0.824,108.044,0.103,0.0322,0.0,0.0859,0.888
20,Taylor Swift,06HL4z0CvFAxyc27GXpf02,evermore (feat. Bon Iver),0AaV4MJrgmLV3XhoiWXjjb,0.395,0.27,120.94,0.0309,0.937,0.00249,0.111,0.314
21,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,68.534,0.0919,0.492,1.58e-05,0.118,0.453
22,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Daylight,1fzAuUVbzlhZ1lJAx9PtY6,0.557,0.496,149.983,0.0563,0.808,0.000173,0.0772,0.265
23,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Explicit Ver.),2HRgqmZQC0MC7GeNuDIXHN,0.79,0.831,124.987,0.044,0.312,0.0,0.0797,0.872
24,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,0.596,0.658,100.012,0.036,0.0504,0.0,0.127,0.176
25,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Now That We Don't Talk (Taylor's Version) (From The Vault),5KD6AEm19QnMbfWpfoOHMl,0.793,0.512,109.994,0.0338,0.186,3.81e-05,0.0889,0.0662
26,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Say Don't Go (Taylor's Version) (From The Vault),4NioO5R9sHEZh4cGzMHyNt,0.626,0.547,109.946,0.0342,0.0656,1.67e-05,0.149,0.192
27,Taylor Swift,06HL4z0CvFAxyc27GXpf02,"""Slut!"" (Taylor's Version) (From The Vault)",71BqAINEnezjQfxE4VuJfq,0.629,0.413,77.983,0.055,0.345,7.62e-05,0.0603,0.306
28,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,0.575,0.824,94.971,0.038,0.000418,0.0214,0.0901,0.292
29,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Suburban Legends (Taylor's Version) (From The Vault),6T0sEnqjmHISIKwFETeeiP,0.699,0.621,118.048,0.0369,0.198,0.0,0.104,0.344
30,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,0.637,0.643,97.008,0.0519,0.13,1.8e-06,0.142,0.533
31,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,0.737,0.725,96.012,0.0641,0.0976,0.0,0.174,0.755
32,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Out Of The Woods (Taylor's Version),045ZeOHPIzhxxsm8bq5kyE,0.547,0.885,91.992,0.0418,0.000512,9.37e-05,0.39,0.192
33,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Welcome To New York (Taylor's Version),1hR8BSuEqPCCZfv93zzzz9,0.761,0.607,116.98,0.0312,0.00961,2.24e-05,0.367,0.674
34,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,Legit Check,0xx6wsjApOtjqEBF3xeSG7,0.792,0.562,99.904,0.445,0.516,0.0,0.103,0.662
35,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Standing Next to You,2KslE17cAJNHTsI2MI0jb2,0.711,0.809,106.017,0.0955,0.0447,0.0,0.339,0.816
36,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,na Circus,6zu98XBex3ksqNSlqJp8jh,0.811,0.494,120.985,0.304,0.252,5.87e-06,0.0935,0.217
37,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,Sold Out,1bpxWHaT6N8gD2k1TvhJYt,0.858,0.562,121.89,0.254,0.101,0.0,0.113,0.365
38,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,No Rats This Time,3zx3awKqdA1ceUs05yDqZR,0.849,0.436,102.026,0.256,0.483,0.0,0.217,0.285
39,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,All My Members Are CEO,4RZh3IZ3rPWLsUUyTXiMVd,0.81,0.693,97.559,0.151,0.0319,4.41e-06,0.139,0.379
40,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,No Gletcher Gang,03TKjVsYvhCyaO9iAAVNve,0.876,0.642,140.046,0.249,0.0118,0.0,0.12,0.741
41,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Yes or No,2gkVEnpahpE3bQuvGuCpAV,0.671,0.839,83.845,0.0866,0.179,0.0,0.0748,0.882
42,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,Lost Angeles,11gTRcdz4wK32fghA2vrX7,0.788,0.544,75.474,0.324,0.141,0.0,0.0947,0.411
