,country_name,danceability,energy,tempo,speechiness,acousticness,instrumentalness,liveness,valence
0, Argentina,0.833,0.809,128.055,0.0381,0.0836,0.0,0.112,0.905
1, Australia,0.596,0.658,100.012,0.036,0.0504,0.0,0.127,0.176
2, Austria,0.796,0.865,130.012,0.0801,0.179,0.0114,0.0852,0.768
3, Belarus,0.479,0.614,96.027,0.0304,0.0171,0.548,0.156,0.258
4, Belgium,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
5, Bolivia,0.911,0.778,96.057,0.262,0.0887,2.16e-05,0.179,0.345
6, Brazil,0.782,0.631,113.427,0.592,0.123,0.0,0.0808,0.866
7, Bulgaria,0.739,0.908,171.972,0.0903,0.0713,0.0,0.0458,0.887
8, Chile,0.844,0.598,98.022,0.0616,0.00362,0.00214,0.0869,0.393
9, Colombia,0.911,0.778,96.057,0.262,0.0887,2.16e-05,0.179,0.345
10, Costa Rica,0.911,0.778,96.057,0.262,0.0887,2.16e-05,0.179,0.345
11, Czech Republic,0.815,0.543,120.048,0.258,0.228,0.14,0.0666,0.409
12, Denmark,0.529,0.846,189.61,0.317,0.0258,0.0,0.303,0.682
13, Dominican Republic,0.787,0.621,139.056,0.068,0.15,0.000402,0.58,0.13
14, Ecuador,0.911,0.778,96.057,0.262,0.0887,2.16e-05,0.179,0.345
15, Egypt,0.89,0.917,110.003,0.0443,0.12,0.0,0.265,0.771
16, El Salvador,0.911,0.778,96.057,0.262,0.0887,2.16e-05,0.179,0.345
17, Estonia,0.729,0.52,99.0,0.0423,0.23,0.689,0.121,0.222
18, Finland,0.645,0.691,134.033,0.0461,0.0499,1.76e-06,0.203,0.602
19, France,0.8,0.581,126.046,0.244,0.126,3.82e-06,0.224,0.966
20, Germany,0.796,0.865,130.012,0.0801,0.179,0.0114,0.0852,0.768
21, Greece,0.698,0.85,130.027,0.175,0.21,0.0,0.144,0.711
22, Guatemala,0.909,0.762,101.987,0.0643,0.434,0.0,0.0856,0.843
23, Honduras,0.911,0.778,96.057,0.262,0.0887,2.16e-05,0.179,0.345
24, Hong Kong,0.79,0.831,124.987,0.044,0.312,0.0,0.0797,0.872
25, Hungary,0.835,0.856,93.008,0.0891,0.084,0.0114,0.0544,0.614
26, Iceland,0.686,0.688,123.027,0.038,0.0184,0.0,0.34,0.865
27, India,0.708,0.356,83.679,0.075,0.437,6.54e-05,0.112,0.569
28, Indonesia,0.509,0.359,155.799,0.0279,0.879,0.0289,0.19,0.329
29, Ireland,0.662,0.488,117.913,0.0682,0.782,0.0,0.102,0.817
30, Israel,0.604,0.423,104.238,0.202,0.725,0.000569,0.108,0.303
31, Italy,0.718,0.925,124.967,0.343,0.135,0.0,0.234,0.653
32, Japan,0.616,0.975,132.054,0.208,0.172,1.62e-06,0.143,0.742
33, Kazakhstan,0.79,0.831,124.987,0.044,0.312,0.0,0.0797,0.872
34, Latvia,0.628,0.523,169.982,0.0946,0.701,0.00274,0.219,0.416
35, Lithuania,0.628,0.523,169.982,0.0946,0.701,0.00274,0.219,0.416
36, Luxembourg,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
37, Malaysia,0.79,0.831,124.987,0.044,0.312,0.0,0.0797,0.872
38, Mexico,0.815,0.741,125.031,0.0569,0.0277,0.0183,0.219,0.591
39, Morocco,0.652,0.576,91.74,0.375,0.57,0.0,0.123,0.358
40, Netherlands,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
41, New Zealand,0.673,0.722,117.187,0.0755,0.0856,0.0,0.137,0.519
42, Nicaragua,0.909,0.762,101.987,0.0643,0.434,0.0,0.0856,0.843
43, Nigeria,0.689,0.835,111.966,0.144,0.256,1.14e-05,0.22,0.769
44, Norway,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
45, Pakistan,0.708,0.356,83.679,0.075,0.437,6.54e-05,0.112,0.569
46, Panama,0.911,0.778,96.057,0.262,0.0887,2.16e-05,0.179,0.345
47, Paraguay,0.909,0.762,101.987,0.0643,0.434,0.0,0.0856,0.843
48, Peru,0.911,0.778,96.057,0.262,0.0887,2.16e-05,0.179,0.345
49, Philippines,0.48,0.571,146.051,0.042,0.526,0.000213,0.232,0.257
50, Poland,0.685,0.723,145.955,0.0887,0.0293,1.83e-05,0.103,0.435
51, Portugal,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
52, Romania,0.772,0.787,173.993,0.097,0.116,0.00123,0.271,0.736
53, Saudi Arabia,0.79,0.831,124.987,0.044,0.312,0.0,0.0797,0.872
54, Singapore,0.79,0.831,124.987,0.044,0.312,0.0,0.0797,0.872
55, Slovakia,0.9,0.737,133.998,0.0731,0.0825,0.267,0.291,0.489
56, South Africa,0.697,0.643,118.004,0.0384,0.0709,0.584,0.101,0.748
57, South Korea,0.79,0.831,124.987,0.044,0.312,0.0,0.0797,0.872
58, Spain,0.822,0.711,102.984,0.0668,0.179,1.46e-05,0.083,0.934
59, Sweden,0.442,0.605,87.194,0.0284,0.238,6.44e-05,0.307,0.358
60, Switzerland,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
61, Taiwan,0.79,0.831,124.987,0.044,0.312,0.0,0.0797,0.872
62, Thailand,0.711,0.809,106.017,0.0955,0.0447,0.0,0.339,0.816
63, Turkey,0.657,0.372,188.011,0.0476,0.835,0.0136,0.0981,0.919
64, UAE,0.79,0.831,124.987,0.044,0.312,0.0,0.0797,0.872
65, USA,0.596,0.658,100.012,0.036,0.0504,0.0,0.127,0.176
66, Ukraine,0.759,0.464,109.974,0.0577,0.712,0.446,0.215,0.143
67, United Kingdom,0.442,0.605,87.194,0.0284,0.238,6.44e-05,0.307,0.358
68, Uruguay,0.833,0.809,128.055,0.0381,0.0836,0.0,0.112,0.905
69, Vietnam,0.711,0.809,106.017,0.0955,0.0447,0.0,0.339,0.816
