,country_name,danceability,energy,tempo,speechiness,acousticness,instrumentalness,liveness,valence
0, Andorra,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
1, Argentina,0.53,0.537,172.185,0.559,0.3,0.0,0.0892,0.678
2, Australia,0.602,0.676,160.021,0.0527,0.00624,0.826,0.0635,0.716
3, Austria,0.717,0.804,170.926,0.144,0.297,0.000104,0.11,0.832
4, Belarus,0.547,0.7,87.506,0.0463,0.0464,0.683,0.696,0.326
5, Belgium,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
6, Bolivia,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
7, Brazil,0.958,0.558,124.969,0.301,0.478,0.000124,0.563,0.666
8, Bulgaria,0.733,0.811,132.038,0.0328,0.488,0.0,0.112,0.35
9, Canada,0.602,0.676,160.021,0.0527,0.00624,0.826,0.0635,0.716
10, Chile,0.53,0.537,172.185,0.559,0.3,0.0,0.0892,0.678
11, Colombia,0.53,0.537,172.185,0.559,0.3,0.0,0.0892,0.678
12, Costa Rica,0.748,0.668,125.045,0.0288,0.085,2.18e-06,0.111,0.785
13, Czech Republic,0.602,0.676,160.021,0.0527,0.00624,0.826,0.0635,0.716
14, Denmark,0.956,0.482,130.063,0.0491,0.566,4.81e-06,0.106,0.781
15, Dominican Republic,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
16, Ecuador,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
17, Egypt,0.608,0.443,125.847,0.0381,0.771,0.00127,0.112,0.211
18, El Salvador,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
19, Estonia,0.956,0.482,130.063,0.0491,0.566,4.81e-06,0.106,0.781
20, Finland,0.705,0.631,81.956,0.176,0.637,0.0,0.132,0.642
21, France,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
22, Germany,0.717,0.804,170.926,0.144,0.297,0.000104,0.11,0.832
23, Greece,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
24, Guatemala,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
25, Honduras,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
26, Hong Kong,0.504,0.308,113.95,0.0321,0.868,0.135,0.158,0.121
27, Hungary,0.956,0.482,130.063,0.0491,0.566,4.81e-06,0.106,0.781
28, Iceland,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
29, India,0.678,0.781,169.953,0.273,0.264,0.00521,0.0517,0.873
30, Indonesia,0.509,0.359,155.799,0.0279,0.879,0.0289,0.19,0.329
31, Ireland,0.541,0.504,68.482,0.457,0.375,0.0,0.421,0.707
32, Israel,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
33, Italy,0.623,0.5,149.991,0.164,0.743,0.0,0.166,0.92
34, Japan,0.507,0.884,112.0,0.0448,0.0867,0.0,0.113,0.361
35, Kazakhstan,0.943,0.548,136.01,0.249,0.00178,0.0318,0.0944,0.832
36, Latvia,0.969,0.707,124.991,0.258,0.00822,0.0,0.314,0.421
37, Lithuania,0.602,0.676,160.021,0.0527,0.00624,0.826,0.0635,0.716
38, Luxembourg,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
39, Malaysia,0.509,0.359,155.799,0.0279,0.879,0.0289,0.19,0.329
40, Mexico,0.53,0.537,172.185,0.559,0.3,0.0,0.0892,0.678
41, Morocco,0.608,0.443,125.847,0.0381,0.771,0.00127,0.112,0.211
42, Netherlands,0.634,0.824,137.959,0.047,0.0908,0.0711,0.119,0.371
43, New Zealand,0.794,0.922,138.066,0.251,0.0424,0.0,0.291,0.592
44, Nicaragua,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
45, Nigeria,0.92,0.662,120.012,0.244,0.0026,0.00131,0.0856,0.767
46, Norway,0.723,0.557,140.078,0.218,0.576,0.0,0.186,0.556
47, Pakistan,0.78,0.708,91.998,0.152,0.444,0.0,0.334,0.801
48, Panama,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
49, Paraguay,0.693,0.592,177.973,0.384,0.0665,0.0,0.398,0.688
50, Peru,0.53,0.537,172.185,0.559,0.3,0.0,0.0892,0.678
51, Philippines,0.345,0.22,74.665,0.0495,0.732,0.0,0.0834,0.289
52, Poland,0.529,0.643,132.04,0.032,0.055,0.0,0.356,0.281
53, Portugal,0.734,0.228,162.524,0.53,0.889,0.00642,0.102,0.522
54, Romania,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
55, Saudi Arabia,0.608,0.443,125.847,0.0381,0.771,0.00127,0.112,0.211
56, Singapore,0.504,0.308,113.95,0.0321,0.868,0.135,0.158,0.121
57, Slovakia,0.475,0.171,81.257,0.165,0.744,0.00729,0.0787,0.237
58, South Africa,0.944,0.593,132.992,0.357,0.0975,0.0,0.304,0.486
59, South Korea,0.673,0.722,117.187,0.0755,0.0856,0.0,0.137,0.519
60, Spain,0.768,0.295,98.084,0.0735,0.489,0.000358,0.0993,0.791
61, Sweden,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
62, Switzerland,0.717,0.804,170.926,0.144,0.297,0.000104,0.11,0.832
63, Taiwan,0.484,0.866,100.012,0.0445,0.0238,0.0,0.933,0.185
64, Thailand,0.768,0.469,95.937,0.0708,0.266,0.0,0.147,0.39
65, Turkey,0.416,0.473,118.354,0.0351,0.553,1.2e-06,0.168,0.167
66, UAE,0.78,0.708,91.998,0.152,0.444,0.0,0.334,0.801
67, USA,0.602,0.676,160.021,0.0527,0.00624,0.826,0.0635,0.716
68, Ukraine,0.719,0.782,88.903,0.286,0.312,0.0,0.327,0.632
69, United Kingdom,0.602,0.676,160.021,0.0527,0.00624,0.826,0.0635,0.716
70, Uruguay,0.693,0.592,177.973,0.384,0.0665,0.0,0.398,0.688
71, Venezuela,0.537,0.421,98.224,0.0285,0.827,0.0,0.138,0.524
72, Vietnam,0.471,0.863,175.005,0.042,0.0362,0.0,0.147,0.725
