,country_name,playlist_type,oldest_song,avg_popularity,avg_release_date
0, Canada,Viral,1958.0,76.29333333333334,2014.9133333333334
1, USA,Top,1942.0,81.52,2017.22
2, Iceland,Viral,1962.0,65.49333333333334,2017.3
3, United Kingdom,Viral,1958.0,81.51333333333334,2017.71
4, New Zealand,Viral,1962.0,80.45666666666666,2018.1666666666667
5, Ireland,Viral,1962.0,79.66333333333333,2018.6866666666667
6, Latvia,Viral,1962.0,77.62666666666667,2018.94
7, Saudi Arabia,Viral,1944.0,74.85333333333334,2019.0433333333333
8, Turkey,Viral,1965.0,68.93333333333334,2019.39
9, Lithuania,Viral,1962.0,72.6,2019.5933333333332
10, Belgium,Viral,1962.0,80.74666666666667,2019.6233333333332
11, Australia,Viral,1962.0,83.25666666666666,2019.72
12, Indonesia,Top,1983.0,73.95333333333333,2019.9466666666667
13, Mexico,Viral,1962.0,78.98666666666666,2020.2533333333333
14, Norway,Viral,1962.0,70.7,2020.3033333333333
15, Costa Rica,Viral,1962.0,80.66666666666667,2020.39
16, Austria,Viral,1962.0,77.72,2020.41
17, Estonia,Viral,1962.0,73.32666666666667,2020.45
18, Colombia,Viral,1962.0,81.12666666666667,2020.5066666666667
19, Switzerland,Viral,1962.0,80.71666666666667,2020.5333333333333
20, Andorra,Viral,1967.0,84.78,2020.6333333333334
21, Ecuador,Viral,1962.0,80.23333333333333,2020.6333333333334
22, Poland,Viral,1962.0,72.20333333333333,2020.67
23, Portugal,Viral,1962.0,74.59666666666666,2020.6766666666667
24, Bolivia,Viral,1962.0,82.61,2020.7233333333334
25, Romania,Viral,1962.0,63.93,2020.7533333333333
26, Peru,Viral,1962.0,80.14666666666666,2020.7566666666667
27, Finland,Viral,1962.0,62.79333333333334,2020.7933333333333
28, Sweden,Viral,1962.0,68.84333333333333,2020.82
29, France,Viral,1962.0,76.55333333333333,2020.8466666666666
30, Denmark,Viral,1962.0,67.25333333333333,2020.9633333333334
31, Guatemala,Viral,1962.0,82.86333333333333,2020.9966666666667
32, Italy,Viral,1962.0,68.41333333333333,2021.0033333333333
33, Hungary,Viral,1962.0,68.17666666666666,2021.02
34, Slovakia,Viral,1962.0,70.29333333333334,2021.06
35, Belarus,Viral,1995.0,60.15,2021.0766666666666
36, Luxembourg,Viral,1962.0,81.83712121212122,2021.090909090909
37, Ukraine,Viral,1983.0,65.67,2021.0933333333332
38, Venezuela,Viral,1991.0,81.35333333333334,2021.14
39, Argentina,Viral,1962.0,77.99,2021.1466666666668
40, Germany,Viral,1962.0,75.32666666666667,2021.1866666666667
41, El Salvador,Viral,1962.0,83.10666666666667,2021.2166666666667
42, Czech Republic,Viral,1962.0,69.61666666666666,2021.2466666666667
43, Greece,Viral,1962.0,65.80666666666667,2021.27
44, Malaysia,Viral,1986.0,75.40666666666667,2021.28
45, Netherlands,Viral,1962.0,73.84666666666666,2021.3666666666666
46, UAE,Viral,1962.0,79.52,2021.3866666666668
47, Singapore,Viral,1962.0,77.76,2021.4133333333334
48, Japan,Viral,1962.0,65.62666666666667,2021.5166666666667
49, Panama,Viral,1981.0,76.52333333333333,2021.5266666666666
50, South Africa,Viral,1968.0,61.85,2021.5333333333333
51, Kazakhstan,Viral,2009.0,66.09333333333333,2021.5433333333333
52, Chile,Viral,1962.0,76.81,2021.5633333333333
53, India,Viral,1995.0,71.16666666666667,2021.5633333333333
54, Bulgaria,Viral,1993.0,65.62333333333333,2021.5833333333333
55, Honduras,Viral,1991.0,83.29666666666667,2021.6033333333332
56, Taiwan,Viral,1993.0,67.82333333333334,2021.64
57, Paraguay,Viral,1991.0,81.99666666666667,2021.6633333333334
58, Philippines,Viral,2002.0,75.18666666666667,2021.6666666666667
59, Spain,Viral,1962.0,77.29,2021.6933333333334
60, Nicaragua,Viral,1991.0,85.07,2021.73
61, Israel,Top,1989.0,63.43,2021.7533333333333
62, Brazil,Viral,1962.0,76.25666666666666,2021.83
63, Egypt,Viral,2007.0,61.836666666666666,2021.8666666666666
64, Thailand,Viral,1977.0,63.376666666666665,2021.8933333333334
65, Uruguay,Viral,1991.0,77.02,2021.8933333333334
66, Hong Kong,Viral,1993.0,68.29666666666667,2022.18
67, South Korea,Viral,2006.0,69.08666666666667,2022.2233333333334
68, Pakistan,Viral,2006.0,71.46,2022.4433333333334
69, Morocco,Viral,2006.0,66.70333333333333,2022.57
70, Dominican Republic,Viral,2006.0,81.76333333333334,2022.63
71, Vietnam,Viral,2020.0,64.32333333333334,2022.7733333333333
72, Nigeria,Top,2022.0,62.41,2022.96
