,artist,upload_time,num_countries
0,Mitski,2023-11-04 16:43:27.452336,70
1,Mitski,2023-11-05 14:18:19.598429,70
2,Mitski,2023-11-06 10:43:30.354751,70
3,Tyla,2023-11-05 14:18:19.598429,70
4,Tyla,2023-11-06 10:43:30.354751,70
5,Memphis Cult,2023-11-04 16:43:27.452336,69
6,Memphis Cult,2023-11-05 14:18:19.598429,69
7,Memphis Cult,2023-11-06 10:43:30.354751,69
8,Tyla,2023-11-04 16:43:27.452336,69
9,Aliyah's Interlude,2023-11-05 14:18:19.598429,67
10,Aliyah's Interlude,2023-11-06 10:43:30.354751,67
11,Aliyah's Interlude,2023-11-04 16:43:27.452336,66
12,Frizk,2023-11-05 14:18:19.598429,65
13,Frizk,2023-11-06 10:43:30.354751,65
14,iñigo quintero,2023-11-05 14:18:19.598429,65
15,iñigo quintero,2023-11-06 10:43:30.354751,65
16,iñigo quintero,2023-11-04 16:43:27.452336,64
17,Frizk,2023-11-04 16:43:27.452336,63
18,Various Artists,2023-11-04 16:43:27.452336,63
19,Various Artists,2023-11-05 14:18:19.598429,62
20,SUICIDAL-IDOL,2023-11-05 14:18:19.598429,61
21,SUICIDAL-IDOL,2023-11-06 10:43:30.354751,61
22,Various Artists,2023-11-06 10:43:30.354751,61
23,Tate McRae,2023-11-05 14:18:19.598429,59
24,Tate McRae,2023-11-06 10:43:30.354751,59
25,SUICIDAL-IDOL,2023-11-04 16:43:27.452336,58
26,Tate McRae,2023-11-04 16:43:27.452336,57
27,Troye Sivan,2023-11-04 16:43:27.452336,56
28,Troye Sivan,2023-11-05 14:18:19.598429,55
29,Troye Sivan,2023-11-06 10:43:30.354751,55
30,Doja Cat,2023-11-05 14:18:19.598429,52
31,Doja Cat,2023-11-06 10:43:30.354751,52
32,Doja Cat,2023-11-04 16:43:27.452336,51
33,Jung Kook,2023-11-04 16:43:27.452336,50
34,Kenya Grace,2023-11-05 14:18:19.598429,50
35,Kenya Grace,2023-11-06 10:43:30.354751,50
36,BENNETT,2023-11-04 16:43:27.452336,49
37,BENNETT,2023-11-05 14:18:19.598429,48
38,BENNETT,2023-11-06 10:43:30.354751,48
39,Bad Bunny,2023-11-04 16:43:27.452336,48
40,Bad Bunny,2023-11-05 14:18:19.598429,48
41,Bad Bunny,2023-11-06 10:43:30.354751,48
42,Kenya Grace,2023-11-04 16:43:27.452336,48
43,The Living Tombstone,2023-11-04 16:43:27.452336,47
44,The Living Tombstone,2023-11-05 14:18:19.598429,45
45,The Living Tombstone,2023-11-06 10:43:30.354751,45
46,"Bobby ""Boris"" Pickett",2023-11-04 16:43:27.452336,44
47,Jung Kook,2023-11-06 10:43:30.354751,44
48,Jung Kook,2023-11-05 14:18:19.598429,43
49,Teddy Swims,2023-11-05 14:18:19.598429,43
50,Teddy Swims,2023-11-06 10:43:30.354751,43
51,"Bobby ""Boris"" Pickett",2023-11-05 14:18:19.598429,42
52,"Bobby ""Boris"" Pickett",2023-11-06 10:43:30.354751,42
53,Teddy Swims,2023-11-04 16:43:27.452336,41
54,Taylor Swift,2023-11-04 16:43:27.452336,39
55,Taylor Swift,2023-11-06 10:43:30.354751,38
56,Taylor Swift,2023-11-05 14:18:19.598429,37
57,Ken Carson,2023-11-05 14:18:19.598429,31
