,artist,track_name,track_id,popularity,release_date,duration,upload_time,country_name,playlist_type
0,iñigo quintero,Si No Estás,2HafqoJbgXdtjwCOvNEF14,99,2022-09-23,184061,2023-11-04 16:43:27.452336, Andorra,Viral
1,Bad Bunny,MONACO,4MjDJD8cW7iVeWInc2Bdyj,98,2023-10-13,267194,2023-11-04 16:43:27.452336, Andorra,Viral
2,BENNETT,Vois sur ton chemin - Techno Mix,31nfdEooLEq7dn3UMcIeB5,91,2023-08-04,178156,2023-11-04 16:43:27.452336, Andorra,Viral
3,Anuel AA,OA,6gMj2DzKR2PjrrbNSwcGFR,86,2023-10-13,235200,2023-11-04 16:43:27.452336, Andorra,Viral
4,Soge Culebra,NO PIENSO LLAMAR,3tPPP39TSamzLPOJomKALp,68,2023-10-13,198352,2023-11-04 16:43:27.452336, Andorra,Viral
5,Morad,No Estuviste En Lo Malo - REMIX,5hyKw9bjqXCcIxAoDmAxMJ,77,2023-10-04,268320,2023-11-04 16:43:27.452336, Andorra,Viral
6,Saiko,COSAS QUE NO TE DIJE,5xSt1wxZobFcLzHrFakv6z,81,2021-09-17,224725,2023-11-04 16:43:27.452336, Andorra,Viral
7,Dei V,Narcotics (with Bryant Myers),0p0cOpBujR114Wirv5AM7W,82,2023-09-14,173991,2023-11-04 16:43:27.452336, Andorra,Viral
8,Kiko Rivera,El Mambo,51QmqegeWI2orK2mzDfnIH,82,2023-07-13,129845,2023-11-04 16:43:27.452336, Andorra,Viral
9,Bad Bunny,PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,97,2023-10-13,162767,2023-11-04 16:43:27.452336, Andorra,Viral
10,GIMS,SEYA,6JI15EdgbGuhUjm4tWyIco,64,2023-10-05,188484,2023-11-04 16:43:27.452336, Andorra,Viral
11,Bad Bunny,FINA,3nNmRE0DxHC6ZaKkrpUumS,93,2023-10-13,216327,2023-11-04 16:43:27.452336, Andorra,Viral
12,Ana Mena,Madrid City,6KHxe3Yj8W8oq3zviUvJRe,76,2023-09-29,172727,2023-11-04 16:43:27.452336, Andorra,Viral
13,Mora,MODELITO,559YUIWxUc8Mx4lsla13Ff,85,2022-11-03,190496,2023-11-04 16:43:27.452336, Andorra,Viral
14,Bad Bunny,HIBIKI,4qSEvFGCpde73gqIuq3sho,92,2023-10-13,208000,2023-11-04 16:43:27.452336, Andorra,Viral
15,Mora,DONDE SE APRENDE A QUERER?,0sfk352FO8bJUjWjIsyzSR,87,2023-08-28,144427,2023-11-04 16:43:27.452336, Andorra,Viral
16,Bad Bunny,SEDA,1YnChEM51BVZ5dRhbVFEMl,90,2023-10-13,190476,2023-11-04 16:43:27.452336, Andorra,Viral
17,Feid,LUCES DE TECNO,0goXAEnjWhssHU0y9Zyqyf,82,2023-09-29,164293,2023-11-04 16:43:27.452336, Andorra,Viral
18,Quevedo,Buenas,4sDpxaulErbJ9NBaJDC7cJ,87,2023-09-22,192954,2023-11-04 16:43:27.452336, Andorra,Viral
19,Dei V,Quien Es Dei V?,5nSUskJwcSRFS9dIqrVfrv,82,2023-03-17,162244,2023-11-04 16:43:27.452336, Andorra,Viral
20,SwaggGlock,BESOS (with Kidd Keo & Neelo),3b6waQzXeYty0R6EDAv0po,77,2023-08-27,172852,2023-11-04 16:43:27.452336, Andorra,Viral
21,Mora,REINA,0QRHOAeU8JRaVVn3UoZBih,88,2023-08-28,211879,2023-11-04 16:43:27.452336, Andorra,Viral
22,Kenya Grace,Strangers,5mjYQaktjmjcMKcUIcqz4s,98,2023-09-01,172964,2023-11-04 16:43:27.452336, Andorra,Viral
23,Bad Bunny,NADIE SABE,23d8v6tU6lR77pFKsApMtF,89,2023-10-13,379058,2023-11-04 16:43:27.452336, Andorra,Viral
24,Bizarrap,"Milo J: Bzrp Music Sessions, Vol. 57",1iLbUmb2b2btyAAcQ68a1p,89,2023-10-03,189901,2023-11-04 16:43:27.452336, Andorra,Viral
25,Bizarrap,Fruto,4SW9gHnW8NfKOdqmh0ij45,91,2023-10-04,132294,2023-11-04 16:43:27.452336, Andorra,Viral
26,KAROL G,QLONA,5RqSsdzTNPX1uzkmlHCFvK,94,2023-08-10,172797,2023-11-04 16:43:27.452336, Andorra,Viral
27,Rels B,lo que hay x aquí,5IlLm20JXhKbMtsH20NblC,82,2023-03-09,155031,2023-11-04 16:43:27.452336, Andorra,Viral
28,cassö,Prada,59NraMJsLaMCVtwXTSia8i,94,2023-08-11,132359,2023-11-04 16:43:27.452336, Andorra,Viral
29,Álvaro De Luna,Todo Contigo,0FLh1ZDsjnoACzBrAVjXT2,64,2023-09-29,165527,2023-11-04 16:43:27.452336, Andorra,Viral
30,LIT killah,Los del Espacio,1Hs1uUl8o2VtDp1DABFq0O,88,2023-06-01,338000,2023-11-04 16:43:27.452336, Andorra,Viral
31,Quevedo,Columbia,6XbtvPmIpyCbjuT0e8cQtp,95,2023-07-07,186000,2023-11-04 16:43:27.452336, Andorra,Viral
32,Bad Bunny,THUNDER Y LIGHTNING,4pcafPzLDSqQktqSpxHL3E,87,2023-10-13,217133,2023-11-04 16:43:27.452336, Andorra,Viral
33,Enrique Iglesias,ASI ES LA VIDA,0Me3GyNuLOa1YTIxhJPyCn,83,2023-09-28,172095,2023-11-04 16:43:27.452336, Andorra,Viral
34,Bad Bunny,UN PREVIEW,5ixdmTpCmH5diBA1j154wN,87,2023-10-13,165582,2023-11-04 16:43:27.452336, Andorra,Viral
35,Emilia,No_Se_Ve.mp3,2df5CkXBJO7jTGXm54dFJy,0,2023-11-03,203636,2023-11-04 16:43:27.452336, Andorra,Viral
36,Doja Cat,Paint The Town Red,56y1jOTK0XSvJzVv9vHQBK,89,2023-09-20,230480,2023-11-04 16:43:27.452336, Andorra,Viral
37,Tyla,Water,5aIVCx5tnk0ntmdiinnYvw,95,2023-07-28,200255,2023-11-04 16:43:27.452336, Andorra,Viral
38,mafalda cardenal,tu fan,0tLXkjxahQsnZkKP2GXXf6,80,2023-05-26,240473,2023-11-04 16:43:27.452336, Andorra,Viral
39,Marta Santos,Algo Sencillito,3cHYqc8Wc2SNWjzxy2A1FS,61,2023-10-05,177338,2023-11-04 16:43:27.452336, Andorra,Viral
40,Marvin Gaye,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,87,1967-08-29,151666,2023-11-04 16:43:27.452336, Andorra,Viral
41,Saiko,Supernova,0zY2rypOdM8xmsf4tUyafF,78,2023-04-19,190909,2023-11-04 16:43:27.452336, Andorra,Viral
42,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,100,2019-08-23,178426,2023-11-04 16:43:27.452336, Andorra,Viral
43,Wolfine,Escápate Conmigo - Remix,4aEOz6ZpXh3wF4FOdJHOPV,85,2012-09-06,167418,2023-11-04 16:43:27.452336, Andorra,Viral
44,Bad Bunny,BABY NUEVA,3NhstUmrlhaN1M6hP8zMbb,90,2023-10-13,240773,2023-11-04 16:43:27.452336, Andorra,Viral
45,Tom Odell,Another Love,3JvKfv6T31zO0ini8iNItO,92,2013-06-24,244360,2023-11-04 16:43:27.452336, Andorra,Viral
46,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,91,2019-05-17,182160,2023-11-04 16:43:27.452336, Andorra,Viral
47,Mora,ESCALOFRÍOS,5CVMsPYtSJ3l7UxYiI2lt7,76,2022-04-01,138510,2023-11-04 16:43:27.452336, Andorra,Viral
48,Bad Bunny,MERCEDES CAROTA,3TYOH7ta0101NYssoH5GlU,88,2023-10-13,202635,2023-11-04 16:43:27.452336, Andorra,Viral
49,Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq,88,2000-10-24,216880,2023-11-04 16:43:27.452336, Andorra,Viral
50,La Pirris,Mi Primera Chamba,6KL3mzK9SdRCT93pPgVvHu,0,2023-11-03,231444,2023-11-04 16:43:27.452336, Argentina,Viral
51,iñigo quintero,Si No Estás,2HafqoJbgXdtjwCOvNEF14,99,2022-09-23,184061,2023-11-04 16:43:27.452336, Argentina,Viral
52,Sayian Jimmy,Bad Boy,1fTBr87WdB5OBBpVovXQOz,76,2023-07-07,159101,2023-11-04 16:43:27.452336, Argentina,Viral
53,CLUBB3RS,Fascination - Remix,6tcdlfcRP08NFleBmSArlZ,48,2023-07-23,383921,2023-11-04 16:43:27.452336, Argentina,Viral
54,Ricardo Iorio,Justo Que Te Vas,3Oylj0SZiK5tpFn5BXYEpZ,55,2015,287226,2023-11-04 16:43:27.452336, Argentina,Viral
55,Marka Akme,Linda - Remix,7HrgGbnNKZKhBL70aFKpXk,80,2023-09-27,234105,2023-11-04 16:43:27.452336, Argentina,Viral
56,Frizk,ALL MY FELLAS,1ckhUtD8nBH2ShPlU8w2nU,80,2023-09-19,141334,2023-11-04 16:43:27.452336, Argentina,Viral
57,Bellakath,Reggaeton Champagne,7yIIeKUxTpn36X6CFJhgEi,88,2023-10-05,159170,2023-11-04 16:43:27.452336, Argentina,Viral
58,Nasa Histoires,Bugambilia,5hXCTV8OCsNak8OVry7yzM,79,2023-07-21,189640,2023-11-04 16:43:27.452336, Argentina,Viral
59,Aliyah's Interlude,IT GIRL,4wQmwPWCUn6gi11Gep2qsP,84,2023-09-30,161760,2023-11-04 16:43:27.452336, Argentina,Viral
60,Darell,Lollipop,3cDyocF0Ibdfs1SFQk5cLZ,94,2023-07-28,199946,2023-11-04 16:43:27.452336, Argentina,Viral
61,Mitski,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,97,2023-09-15,137773,2023-11-04 16:43:27.452336, Argentina,Viral
62,Various Artists,Chupón,3lev2QW3nUHNuxrVstVEGj,82,2023-08-25,201084,2023-11-04 16:43:27.452336, Argentina,Viral
63,mafalda cardenal,tu fan,0tLXkjxahQsnZkKP2GXXf6,80,2023-05-26,240473,2023-11-04 16:43:27.452336, Argentina,Viral
64,El negro tecla,Ahi Ahi,5O9IqFNUVtjRlDpdKex3YH,77,2021-12-08,176796,2023-11-04 16:43:27.452336, Argentina,Viral
65,Various Artists,This Is Halloween,3mhsDyQpX2L8sJMdWUHOi3,63,1993-10-12,196560,2023-11-04 16:43:27.452336, Argentina,Viral
66,Tuti DJ,El Hechizo RKT - Remix,0UwWCien5ERmUokAguOFRz,64,2023-08-25,93906,2023-11-04 16:43:27.452336, Argentina,Viral
67,Troye Sivan,One Of Your Girls,5Eh1nj7IjV9lwpcKAkidyY,88,2023-10-13,181481,2023-11-04 16:43:27.452336, Argentina,Viral
68,Jere Klein,ANDO,6hwGwCfCwHoSJQw7AYPEQu,87,2023-09-27,172774,2023-11-04 16:43:27.452336, Argentina,Viral
69,Tan Bionica,Hola Noviembre,3gpgMfFAQDkVgcY1u76Ccx,56,2013-01-01,213760,2023-11-04 16:43:27.452336, Argentina,Viral
70,Tyla,Water,5aIVCx5tnk0ntmdiinnYvw,95,2023-07-28,200255,2023-11-04 16:43:27.452336, Argentina,Viral
71,Dj Ruben Guzman,Si No Estas - Remix,14KtXeDEoJQVtG0d1zQKXJ,50,2023-10-10,177600,2023-11-04 16:43:27.452336, Argentina,Viral
72,DobleP,Me Escapé,0iVcmJx7r74F7mTf7M6s0v,71,2023-09-07,176181,2023-11-04 16:43:27.452336, Argentina,Viral
73,Bad Bunny,MONACO,4MjDJD8cW7iVeWInc2Bdyj,98,2023-10-13,267194,2023-11-04 16:43:27.452336, Argentina,Viral
74,Luck Ra,La Morocha,7aPsseax6rNFyipHn9A5CR,85,2023-07-07,134144,2023-11-04 16:43:27.452336, Argentina,Viral
75,Malandro,Un Señor,7D3utx5iGzWk8QpHFi6Meb,54,2020-06-05,253492,2023-11-04 16:43:27.452336, Argentina,Viral
76,Teddy Swims,Lose Control,17phhZDn6oGtzMe56NuWvj,79,2023-09-15,210688,2023-11-04 16:43:27.452336, Argentina,Viral
77,WOS,MORFEO,44fsHeGMWo6WgucLYeyONa,72,2023-10-05,233046,2023-11-04 16:43:27.452336, Argentina,Viral
78,"Bobby ""Boris"" Pickett",Monster Mash,0xxZY5C9xxij3D1HkzbnfC,84,1962,192040,2023-11-04 16:43:27.452336, Argentina,Viral
79,Enrique Iglesias,ASI ES LA VIDA,0Me3GyNuLOa1YTIxhJPyCn,83,2023-09-28,172095,2023-11-04 16:43:27.452336, Argentina,Viral
80,filtred arg,Suenan Los Deportivos,42ONWVMZm7I4ioYLYEO712,65,2023-09-14,120035,2023-11-04 16:43:27.452336, Argentina,Viral
81,Guns N' Roses,November Rain,3YRCqOhFifThpSRFJ1VWFM,82,1991-09-17,536066,2023-11-04 16:43:27.452336, Argentina,Viral
82,Bad Bunny,PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,97,2023-10-13,162767,2023-11-04 16:43:27.452336, Argentina,Viral
83,Memphis Cult,9mm,2Dp5Rqruog8SR6x7UtlIpY,82,2023-02-23,86709,2023-11-04 16:43:27.452336, Argentina,Viral
84,Tate McRae,greedy,3rUGC1vUpkDG9CZFHMur1t,99,2023-09-15,131872,2023-11-04 16:43:27.452336, Argentina,Viral
85,Bizarrap,Fruto,4SW9gHnW8NfKOdqmh0ij45,91,2023-10-04,132294,2023-11-04 16:43:27.452336, Argentina,Viral
86,Katteyes,Tas Texteandome,7spAR93xvPOfkxIeTGbpPf,76,2023-10-12,176700,2023-11-04 16:43:27.452336, Argentina,Viral
87,Argy,Aria,3M1r9ilL53PLcrLdIuyZ4J,71,2023-09-22,236065,2023-11-04 16:43:27.452336, Argentina,Viral
88,Marconi Union,Weightless Part 1,2UZZtkoLOg7IHxeTAdPFvd,70,2012,486840,2023-11-04 16:43:27.452336, Argentina,Viral
89,Bizarrap,No soy Eterno,0aPs3kmiqmt9QG7gWXdefA,86,2023-10-04,151468,2023-11-04 16:43:27.452336, Argentina,Viral
90,BENNETT,Vois sur ton chemin - Techno Mix,31nfdEooLEq7dn3UMcIeB5,91,2023-08-04,178156,2023-11-04 16:43:27.452336, Argentina,Viral
91,SUICIDAL-IDOL,ecstacy (slowed),1JgknGBbrfmEHeOZH051SS,90,2023-06-06,119120,2023-11-04 16:43:27.452336, Argentina,Viral
92,Various Artists,Sé Vos,3tyd30J3LxiA23EkFQFbBg,35,2020-08-21,244426,2023-11-04 16:43:27.452336, Argentina,Viral
93,Mc Danone,Vem Quebrando,7Iq55toOSSBCEoGuXxQSa1,81,2023-07-17,148615,2023-11-04 16:43:27.452336, Argentina,Viral
