,artist,artist_id,track_name,track_id,popularity,release_date,duration,playlist,upload_time
0,iñigo quintero,0jbo7KFNMiIkfBR6ih0yhm,Si No Estás,2HafqoJbgXdtjwCOvNEF14,99,2022-09-23,184061,Viral 50 - Andorra,2023-11-04 16:43:27.452336
1,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MONACO,4MjDJD8cW7iVeWInc2Bdyj,98,2023-10-13,267194,Viral 50 - Andorra,2023-11-04 16:43:27.452336
2,BENNETT,1r43wW70tnGUauQYvY5w48,Vois sur ton chemin - Techno Mix,31nfdEooLEq7dn3UMcIeB5,91,2023-08-04,178156,Viral 50 - Andorra,2023-11-04 16:43:27.452336
3,Anuel AA,2R21vXR83lH98kGeO99Y66,OA,6gMj2DzKR2PjrrbNSwcGFR,86,2023-10-13,235200,Viral 50 - Andorra,2023-11-04 16:43:27.452336
4,Soge Culebra,2SNfNJDsahTSVFwgxposF5,NO PIENSO LLAMAR,3tPPP39TSamzLPOJomKALp,68,2023-10-13,198352,Viral 50 - Andorra,2023-11-04 16:43:27.452336
5,Morad,4az97MtWmBQ5Db3GfDh9j9,No Estuviste En Lo Malo - REMIX,5hyKw9bjqXCcIxAoDmAxMJ,77,2023-10-04,268320,Viral 50 - Andorra,2023-11-04 16:43:27.452336
6,Saiko,2O8vbr4RYPpk6MRA4fio7u,COSAS QUE NO TE DIJE,5xSt1wxZobFcLzHrFakv6z,81,2021-09-17,224725,Viral 50 - Andorra,2023-11-04 16:43:27.452336
7,Dei V,2YRyPiW98bpkARAS4B3OQP,Narcotics (with Bryant Myers),0p0cOpBujR114Wirv5AM7W,82,2023-09-14,173991,Viral 50 - Andorra,2023-11-04 16:43:27.452336
8,Kiko Rivera,0HSGpDMeXaEmH5aUIHjnBF,El Mambo,51QmqegeWI2orK2mzDfnIH,82,2023-07-13,129845,Viral 50 - Andorra,2023-11-04 16:43:27.452336
9,Bad Bunny,4q3ewBCX7sLwd24euuV69X,PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,97,2023-10-13,162767,Viral 50 - Andorra,2023-11-04 16:43:27.452336
10,GIMS,0GOx72r5AAEKRGQFn3xqXK,SEYA,6JI15EdgbGuhUjm4tWyIco,64,2023-10-05,188484,Viral 50 - Andorra,2023-11-04 16:43:27.452336
11,Bad Bunny,4q3ewBCX7sLwd24euuV69X,FINA,3nNmRE0DxHC6ZaKkrpUumS,93,2023-10-13,216327,Viral 50 - Andorra,2023-11-04 16:43:27.452336
12,Ana Mena,6k8mwkKJKKjBILo7ypBspl,Madrid City,6KHxe3Yj8W8oq3zviUvJRe,76,2023-09-29,172727,Viral 50 - Andorra,2023-11-04 16:43:27.452336
13,Mora,0Q8NcsJwoCbZOHHW63su5S,MODELITO,559YUIWxUc8Mx4lsla13Ff,85,2022-11-03,190496,Viral 50 - Andorra,2023-11-04 16:43:27.452336
14,Bad Bunny,4q3ewBCX7sLwd24euuV69X,HIBIKI,4qSEvFGCpde73gqIuq3sho,92,2023-10-13,208000,Viral 50 - Andorra,2023-11-04 16:43:27.452336
15,Mora,0Q8NcsJwoCbZOHHW63su5S,DONDE SE APRENDE A QUERER?,0sfk352FO8bJUjWjIsyzSR,87,2023-08-28,144427,Viral 50 - Andorra,2023-11-04 16:43:27.452336
16,Bad Bunny,4q3ewBCX7sLwd24euuV69X,SEDA,1YnChEM51BVZ5dRhbVFEMl,90,2023-10-13,190476,Viral 50 - Andorra,2023-11-04 16:43:27.452336
17,Feid,2LRoIwlKmHjgvigdNGBHNo,LUCES DE TECNO,0goXAEnjWhssHU0y9Zyqyf,82,2023-09-29,164293,Viral 50 - Andorra,2023-11-04 16:43:27.452336
18,Quevedo,52iwsT98xCoGgiGntTiR7K,Buenas,4sDpxaulErbJ9NBaJDC7cJ,87,2023-09-22,192954,Viral 50 - Andorra,2023-11-04 16:43:27.452336
19,Dei V,2YRyPiW98bpkARAS4B3OQP,Quien Es Dei V?,5nSUskJwcSRFS9dIqrVfrv,82,2023-03-17,162244,Viral 50 - Andorra,2023-11-04 16:43:27.452336
20,SwaggGlock,0TQ494EpT0cwX3JWh87nOr,BESOS (with Kidd Keo & Neelo),3b6waQzXeYty0R6EDAv0po,77,2023-08-27,172852,Viral 50 - Andorra,2023-11-04 16:43:27.452336
21,Mora,0Q8NcsJwoCbZOHHW63su5S,REINA,0QRHOAeU8JRaVVn3UoZBih,88,2023-08-28,211879,Viral 50 - Andorra,2023-11-04 16:43:27.452336
22,Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2,Strangers,5mjYQaktjmjcMKcUIcqz4s,98,2023-09-01,172964,Viral 50 - Andorra,2023-11-04 16:43:27.452336
23,Bad Bunny,4q3ewBCX7sLwd24euuV69X,NADIE SABE,23d8v6tU6lR77pFKsApMtF,89,2023-10-13,379058,Viral 50 - Andorra,2023-11-04 16:43:27.452336
